HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459659.10150,2022-03-20.6043290,bB,2.12,16.230,>16.230,99.990,-0.079,0.234,g
2459659.10276,2022-03-20.6055817,bB,2.16,16.383,>16.383,99.990,0.398,0.203,g
2459659.10401,2022-03-20.6068341,bB,2.13,16.393,>16.393,99.990,-0.039,0.201,g
2459660.11967,2022-03-21.6224645,bB,2.04,15.978,>15.978,99.990,-0.736,0.295,g
2459660.12094,2022-03-21.6237289,bB,2.17,16.128,>16.128,99.990,0.303,0.257,g
2459660.12220,2022-03-21.6249928,bB,2.14,16.523,>16.523,99.990,0.087,0.179,g
2459664.09735,2022-03-25.5999848,bB,2.13,17.150,>17.150,99.990,-0.151,0.100,g
2459664.09862,2022-03-25.6012513,bB,2.15,17.152,>17.152,99.990,0.269,0.100,g
2459664.09990,2022-03-25.6025178,bB,2.15,17.196,>17.196,99.990,0.172,0.096,g
2459667.10033,2022-03-28.6028241,bB,2.09,17.699,>17.699,99.990,0.182,0.061,g
2459667.10159,2022-03-28.6040869,bB,2.08,17.715,>17.715,99.990,0.046,0.060,g
2459667.10286,2022-03-28.6053570,bB,2.08,17.709,>17.709,99.990,0.007,0.060,g
2459671.12092,2022-04-01.6232332,bB,2.09,17.661,>17.661,99.990,0.043,0.063,g
2459671.12217,2022-04-01.6244864,bB,2.11,17.706,>17.706,99.990,0.102,0.060,g
2459671.12345,2022-04-01.6257598,bB,2.10,17.506,>17.506,99.990,0.161,0.072,g
2459674.07811,2022-04-04.5802777,bB,2.07,17.125,>17.125,99.990,0.060,0.103,g
2459674.07937,2022-04-04.5815407,bB,2.08,17.103,>17.103,99.990,0.061,0.105,g
2459674.08065,2022-04-04.5828141,bB,2.06,17.292,>17.292,99.990,0.228,0.088,g
2459674.11425,2022-04-04.6164100,bB,2.04,16.904,>16.904,99.990,-0.084,0.126,g
2459674.11550,2022-04-04.6176628,bB,2.02,16.324,>16.324,99.990,-0.244,0.214,g
2459674.11676,2022-04-04.6189236,bB,2.02,16.761,>16.761,99.990,0.161,0.144,g
2459674.93688,2022-04-05.4390118,br,1.48,17.465,>17.465,99.990,-0.100,0.075,g
2459674.93814,2022-04-05.4402637,br,1.45,17.590,>17.590,99.990,0.011,0.067,g
2459680.94188,2022-04-11.4436900,br,1.50,17.642,>17.642,99.990,0.044,0.064,g
2459680.94313,2022-04-11.4449365,br,1.51,17.613,>17.613,99.990,0.107,0.065,g
2459680.94438,2022-04-11.4461983,br,1.51,17.561,>17.561,99.990,0.153,0.069,g
2459686.91930,2022-04-17.4207861,br,1.51,16.238,>16.238,99.990,0.857,0.233,g
2459686.92054,2022-04-17.4220291,br,1.61,16.213,>16.213,99.990,0.748,0.238,g
2459686.92179,2022-04-17.4232746,br,1.50,16.231,>16.231,99.990,-0.050,0.234,g
2459689.97315,2022-04-20.4744621,br,1.46,16.771,>16.771,99.990,0.283,0.142,g
2459689.97439,2022-04-20.4756958,br,1.51,16.807,>16.807,99.990,-0.136,0.138,g
2459689.97563,2022-04-20.4769378,br,1.51,16.497,>16.497,99.990,-0.411,0.183,g
2459691.87771,2022-04-22.3789133,br,1.54,16.885,>16.885,99.990,0.151,0.128,g
2459691.87896,2022-04-22.3801629,br,1.53,16.832,>16.832,99.990,-0.007,0.134,g
2459691.88023,2022-04-22.3814269,br,1.53,16.901,>16.901,99.990,0.337,0.126,g
2459691.91246,2022-04-22.4136548,br,1.53,17.000,>17.000,99.990,0.068,0.115,g
2459691.91375,2022-04-22.4149445,br,1.48,17.113,>17.113,99.990,0.065,0.104,g
2459691.91499,2022-04-22.4161865,br,1.53,16.899,>16.899,99.990,0.181,0.126,g
2459693.90023,2022-04-24.4013158,br,1.50,17.242,>17.242,99.990,-0.032,0.092,g
2459693.90147,2022-04-24.4025598,br,1.55,17.469,>17.469,99.990,0.101,0.075,g
2459693.90271,2022-04-24.4037946,br,1.55,17.302,>17.302,99.990,0.018,0.087,g
2459701.94269,2022-05-02.4432880,br,1.51,17.630,>17.630,99.990,0.116,0.064,g
2459701.94395,2022-05-02.4445462,br,1.59,17.465,>17.465,99.990,0.145,0.075,g
2459701.94521,2022-05-02.4458057,br,1.47,17.537,>17.537,99.990,0.032,0.070,g
2459705.94133,2022-05-06.4416812,br,2.22,17.453,>17.453,99.990,-0.053,0.076,g
2459705.94262,2022-05-06.4429650,br,2.22,17.366,>17.366,99.990,0.030,0.082,g
2459705.94386,2022-05-06.4442131,br,2.23,17.366,>17.366,99.990,0.121,0.082,g
2459708.91492,2022-05-09.4150813,br,1.52,17.609,>17.609,99.990,0.019,0.066,g
2459708.91618,2022-05-09.4163556,br,1.51,17.812,>17.812,99.990,0.044,0.054,g
2459708.91745,2022-05-09.4176296,br,1.56,17.630,>17.630,99.990,0.108,0.064,g
2459714.82020,2022-05-15.3200009,br,1.49,16.102,>16.102,99.990,-0.256,0.263,g
2459714.82151,2022-05-15.3213130,br,1.49,16.103,>16.103,99.990,-0.167,0.263,g
2459714.82283,2022-05-15.3226351,br,1.47,16.130,>16.130,99.990,-0.476,0.257,g
2459715.94765,2022-05-16.4473851,br,1.51,15.596,>15.596,99.990,0.834,0.420,g
