HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458294.78387,2018-06-25.2813843,br,1.56,16.677,>16.677,99.990,0.008,0.155,g
2458294.78509,2018-06-25.2826035,br,1.54,16.752,>16.752,99.990,-0.234,0.145,g
2458294.78631,2018-06-25.2838281,br,1.59,16.652,>16.652,99.990,-0.358,0.159,g
2458294.95244,2018-06-25.4499534,br,1.41,17.002,>17.002,99.990,0.110,0.115,g
2458294.95366,2018-06-25.4511734,br,1.42,16.922,>16.922,99.990,0.021,0.124,g
2458294.95488,2018-06-25.4523863,br,1.43,16.908,>16.908,99.990,-0.026,0.125,g
2458298.00335,2018-06-28.5007237,bb,2.10,16.121,>16.121,99.990,-0.418,0.273,V
2458298.00462,2018-06-28.5019990,bb,2.18,16.150,>16.150,99.990,0.204,0.266,V
2458298.00590,2018-06-28.5032782,bb,2.22,16.370,>16.370,99.990,0.117,0.217,V
2458302.94412,2018-07-03.4412932,br,1.60,15.670,>15.670,99.990,-0.827,0.392,g
2458305.06549,2018-07-05.5625828,bb,2.07,16.543,>16.543,99.990,0.345,0.185,V
2458305.06678,2018-07-05.5638697,bb,2.11,16.522,>16.522,99.990,-0.008,0.189,V
2458305.06805,2018-07-05.5651400,bb,2.10,16.563,>16.563,99.990,0.149,0.182,V
2458308.03930,2018-07-08.5362777,bb,2.04,17.190,>17.190,99.990,0.241,0.102,V
2458308.04056,2018-07-08.5375509,bb,2.04,17.138,>17.138,99.990,0.505,0.107,V
2458308.04183,2018-07-08.5388246,bb,2.04,17.121,>17.121,99.990,0.362,0.109,V
2458309.93966,2018-07-10.4365768,bb,2.08,17.187,>17.187,99.990,0.166,0.102,V
2458309.94094,2018-07-10.4378548,bb,2.06,17.269,17.220,0.210,0.496,0.095,V
2458309.94221,2018-07-10.4391315,bb,2.07,17.196,>17.196,99.990,0.164,0.102,V
2458311.83099,2018-07-12.3278432,br,1.49,17.707,>17.707,99.990,0.029,0.060,g
2458311.83220,2018-07-12.3290585,br,1.57,17.657,>17.657,99.990,0.003,0.063,g
2458311.83344,2018-07-12.3302890,br,1.52,17.742,>17.742,99.990,0.103,0.058,g
2458315.85309,2018-07-16.3498290,bb,2.01,17.058,>17.058,99.990,0.452,0.115,V
2458315.85437,2018-07-16.3511054,bb,2.00,17.094,>17.094,99.990,0.470,0.112,V
2458315.85566,2018-07-16.3523912,bb,2.03,17.139,>17.139,99.990,0.285,0.107,V
2458317.81430,2018-07-18.3109767,bb,1.91,99.990,99.990,99.990,99.990,99.990,V
2458317.81557,2018-07-18.3122528,bb,2.14,99.990,99.990,99.990,99.990,99.990,V
2458317.81686,2018-07-18.3135381,bb,2.09,99.990,99.990,99.990,99.990,99.990,V
2458318.95209,2018-07-19.4487457,bb,2.09,16.990,>16.990,99.990,0.245,0.123,V
2458318.95337,2018-07-19.4500195,bb,2.10,17.095,>17.095,99.990,0.166,0.111,V
2458320.86327,2018-07-21.3598775,br,1.47,17.935,>17.935,99.990,-0.008,0.049,g
2458320.86449,2018-07-21.3610949,br,1.45,17.887,>17.887,99.990,0.121,0.051,g
2458320.86571,2018-07-21.3623127,br,1.51,17.809,>17.809,99.990,0.038,0.055,g
2458322.85986,2018-07-23.3564243,bb,2.09,16.670,>16.670,99.990,0.711,0.165,V
2458324.82099,2018-07-25.3175086,br,1.47,16.298,>16.298,99.990,0.253,0.220,g
2458324.82221,2018-07-25.3187253,br,1.45,16.311,>16.311,99.990,-0.080,0.217,g
2458324.82343,2018-07-25.3199446,br,1.43,16.511,>16.511,99.990,-0.392,0.181,g
2458325.91602,2018-07-26.412525,bb,2.03,16.317,>16.317,99.990,-0.017,0.228,V
2458325.91730,2018-07-26.4138012,bb,2.02,16.378,>16.378,99.990,0.251,0.216,V
2458325.91857,2018-07-26.4150766,bb,2.04,16.355,>16.355,99.990,0.229,0.220,V
2458329.82354,2018-07-30.3199784,br,1.48,16.337,>16.337,99.990,-0.124,0.212,g
2458329.82476,2018-07-30.3211923,br,1.52,16.347,>16.347,99.990,-0.410,0.210,g
2458329.82597,2018-07-30.3224042,br,1.43,16.335,>16.335,99.990,0.294,0.212,g
2458331.89277,2018-08-01.3891716,br,1.59,16.580,>16.580,99.990,-0.225,0.170,g
2458331.89399,2018-08-01.3903915,br,1.64,16.608,>16.608,99.990,-0.096,0.165,g
2458331.89520,2018-08-01.3916089,br,1.63,16.623,>16.623,99.990,-0.060,0.163,g
2458332.86076,2018-08-02.3571577,br,1.44,16.382,>16.382,99.990,-0.348,0.203,g
2458332.86197,2018-08-02.3583692,br,1.45,16.418,>16.418,99.990,-0.367,0.197,g
2458332.86320,2018-08-02.3595879,br,1.44,16.335,>16.335,99.990,-0.074,0.212,g
2458334.02285,2018-08-03.5192373,bb,2.18,17.046,>17.046,99.990,0.215,0.117,V
2458334.02413,2018-08-03.5205068,bb,2.12,16.954,>16.954,99.990,0.325,0.127,V
2458334.02540,2018-08-03.5217822,bb,2.16,17.041,>17.041,99.990,0.120,0.117,V
2458335.76825,2018-08-05.2646100,br,1.48,17.702,>17.702,99.990,0.145,0.060,g
2458335.76946,2018-08-05.2658298,br,1.49,17.743,>17.743,99.990,0.152,0.058,g
2458335.77069,2018-08-05.2670545,br,1.42,17.853,>17.853,99.990,0.004,0.052,g
2458337.82993,2018-08-07.3262822,br,1.43,99.990,99.990,99.990,99.990,99.990,g
2458337.83115,2018-08-07.3274965,br,1.48,17.742,>17.742,99.990,0.081,0.058,g
2458337.83236,2018-08-07.3287129,br,1.45,99.990,99.990,99.990,99.990,99.990,g
2458339.89435,2018-08-09.3906810,bb,2.36,15.693,>15.693,99.990,1.015,0.405,V
2458339.89562,2018-08-09.3919593,bb,2.38,15.578,>15.578,99.990,0.336,0.450,V
2458339.89690,2018-08-09.3932354,bb,2.40,15.668,>15.668,99.990,0.705,0.415,V
2458342.94171,2018-08-12.4380406,bb,2.12,17.211,>17.211,99.990,0.284,0.100,V
2458342.94298,2018-08-12.4393162,bb,2.10,17.062,>17.062,99.990,0.228,0.115,V
2458342.94426,2018-08-12.4405925,bb,2.11,17.279,>17.279,99.990,0.164,0.094,V
2458345.96964,2018-08-15.4659747,bb,2.03,14.725,>14.725,99.990,-0.520,0.988,V
2458345.97098,2018-08-15.4673149,bb,2.08,99.990,99.990,99.990,99.990,99.990,V
2458345.97225,2018-08-15.4685809,bb,2.35,99.990,99.990,99.990,99.990,99.990,V
2458347.85180,2018-08-17.3481450,bb,2.01,17.138,>17.138,99.990,0.033,0.107,V
2458347.85308,2018-08-17.3494152,bb,2.00,17.171,>17.171,99.990,0.300,0.104,V
2458347.85435,2018-08-17.3506916,bb,2.00,17.052,>17.052,99.990,0.048,0.116,V
2458351.95145,2018-08-21.4478076,bb,2.16,16.821,>16.821,99.990,0.465,0.143,V
2458351.95271,2018-08-21.4490763,bb,2.26,16.592,>16.592,99.990,0.080,0.177,V
2458351.95399,2018-08-21.4503563,bb,2.12,16.914,>16.914,99.990,0.305,0.132,V
2458359.79478,2018-08-29.4592561,bb,2.08,15.300,>15.300,99.990,0.210,0.582,V
2458359.79478,2018-08-29.4579719,bb,2.09,15.376,>15.376,99.990,0.006,0.543,V
2458359.79478,2018-08-29.4605467,bb,1.97,15.293,>15.293,99.990,-0.323,0.586,V
2458360.95485,2018-08-30.4513266,bb,2.02,16.763,>16.763,99.990,0.231,0.151,V
2458360.95613,2018-08-30.4526108,bb,2.03,16.604,>16.604,99.990,0.248,0.175,V
2458360.95741,2018-08-30.4538879,bb,2.03,16.598,>16.598,99.990,-0.266,0.176,V
2458361.95740,2018-08-31.4538923,bb,2.20,16.610,>16.610,99.990,0.289,0.174,V
2458361.95867,2018-08-31.4551657,bb,2.21,16.700,>16.700,99.990,0.526,0.160,V
2458362.96476,2018-09-01.4612715,bb,2.39,17.022,>17.022,99.990,0.156,0.119,V
2458362.96604,2018-09-01.4625571,bb,2.37,16.831,>16.831,99.990,-0.101,0.142,V
2458366.87603,2018-09-05.3726410,br,1.38,15.758,>15.758,99.990,0.058,0.361,g
2458366.87726,2018-09-05.3738706,br,1.36,15.711,>15.711,99.990,-0.478,0.377,g
2458366.87856,2018-09-05.3751642,br,1.43,15.516,>15.516,99.990,-0.291,0.451,g
2458367.90596,2018-09-06.4025851,bb,2.11,17.283,>17.283,99.990,0.226,0.094,V
2458367.90723,2018-09-06.4038582,bb,2.10,17.300,>17.300,99.990,0.128,0.092,V
2458367.90851,2018-09-06.4051348,bb,2.10,17.335,>17.335,99.990,0.152,0.089,V
2458370.81432,2018-09-09.3110267,bb,2.05,17.439,>17.439,99.990,0.227,0.081,V
2458370.81562,2018-09-09.3123145,bb,2.07,17.167,>17.167,99.990,0.383,0.104,V
2458370.81689,2018-09-09.3135921,bb,2.06,17.295,>17.295,99.990,0.263,0.093,V
2458372.90229,2018-09-11.3990483,bb,2.12,17.171,>17.171,99.990,0.346,0.104,V
2458372.90356,2018-09-11.4003165,bb,2.13,17.145,>17.145,99.990,0.259,0.106,V
2458372.90490,2018-09-11.4016598,bb,2.13,17.146,>17.146,99.990,0.333,0.106,V
2458377.72128,2018-09-16.2181918,bb,2.05,16.394,>16.394,99.990,0.406,0.212,V
2458377.89906,2018-09-16.3959760,bb,2.12,17.238,>17.238,99.990,0.316,0.098,V
2458377.90033,2018-09-16.3972502,bb,2.13,17.181,>17.181,99.990,0.438,0.103,V
2458377.90162,2018-09-16.3985285,bb,2.12,17.139,>17.139,99.990,0.075,0.107,V
2458380.81874,2018-09-19.3157534,bb,2.31,16.745,>16.745,99.990,0.415,0.154,V
2458380.82001,2018-09-19.3170304,bb,2.32,16.897,>16.897,99.990,0.432,0.134,V
2458380.82129,2018-09-19.3183024,bb,2.31,16.599,>16.599,99.990,0.086,0.176,V
2458384.81586,2018-09-23.3130346,br,1.52,16.426,>16.426,99.990,-0.267,0.195,g
2458384.81708,2018-09-23.3142559,br,1.52,16.275,>16.275,99.990,0.358,0.224,g
2458384.81829,2018-09-23.3154643,br,1.55,16.402,>16.402,99.990,0.010,0.200,g
2458385.73935,2018-09-24.2365605,br,1.51,16.537,>16.537,99.990,-0.138,0.176,g
2458385.74056,2018-09-24.2377804,br,1.53,16.636,>16.636,99.990,0.128,0.161,g
2458385.74179,2018-09-24.2390061,br,1.48,16.472,>16.472,99.990,0.083,0.187,g
2458386.66799,2018-09-25.1652412,br,1.59,16.325,>16.325,99.990,0.634,0.215,g
2458386.66921,2018-09-25.1664611,br,1.58,16.417,>16.417,99.990,0.035,0.197,g
2458386.67043,2018-09-25.1676799,br,1.59,16.520,>16.520,99.990,0.314,0.179,g
2458387.61441,2018-09-26.1117020,br,2.23,16.634,>16.634,99.990,-0.163,0.161,g
2458387.61562,2018-09-26.1129125,br,2.19,16.657,>16.657,99.990,-0.368,0.158,g
2458387.61685,2018-09-26.1141380,br,2.23,16.554,>16.554,99.990,0.288,0.174,g
2458390.79142,2018-09-29.2888523,br,1.44,16.962,>16.962,99.990,-0.254,0.119,g
2458390.79264,2018-09-29.2900662,br,1.50,16.704,>16.704,99.990,-0.023,0.151,g
2458390.79386,2018-09-29.2912921,br,1.50,16.964,>16.964,99.990,-0.079,0.119,g
2458391.81914,2018-09-30.3166097,bb,2.06,15.781,>15.781,99.990,-0.053,0.374,V
2458391.82042,2018-09-30.3178901,bb,2.09,15.292,>15.292,99.990,-1.156,0.587,V
2458391.82169,2018-09-30.3191614,bb,2.02,16.379,>16.379,99.990,0.156,0.215,V
2458392.86602,2018-10-01.3635339,bb,2.35,17.169,>17.169,99.990,0.408,0.104,V
2458392.86729,2018-10-01.3648082,bb,2.36,16.930,>16.930,99.990,0.416,0.130,V
2458393.88269,2018-10-02.3802517,bb,2.00,17.130,>17.130,99.990,0.144,0.108,V
2458393.88396,2018-10-02.3815290,bb,2.00,17.109,>17.109,99.990,0.124,0.110,V
2458393.88524,2018-10-02.3828052,bb,2.02,17.013,>17.013,99.990,0.360,0.120,V
2458394.74318,2018-10-03.2407826,br,1.48,17.687,>17.687,99.990,-0.015,0.061,g
2458394.74439,2018-10-03.2419990,br,1.54,17.599,>17.599,99.990,0.180,0.066,g
2458394.74561,2018-10-03.2432221,br,1.50,17.743,>17.743,99.990,-0.007,0.058,g
2458401.83144,2018-10-10.3293966,bb,2.41,17.009,>17.009,99.990,0.150,0.121,V
2458401.83271,2018-10-10.3306759,bb,2.41,16.941,>16.941,99.990,0.192,0.128,V
2458401.83399,2018-10-10.3319496,bb,2.40,17.052,>17.052,99.990,0.286,0.116,V
2458402.59036,2018-10-11.0883634,br,1.62,18.192,>18.192,99.990,0.070,0.038,g
2458402.59158,2018-10-11.0895841,br,1.57,17.739,>17.739,99.990,0.163,0.058,g
2458402.59282,2018-10-11.0908148,br,1.55,17.646,>17.646,99.990,0.113,0.064,g
2458403.67376,2018-10-12.1718142,br,1.65,99.990,99.990,99.990,99.990,99.990,g
2458403.67497,2018-10-12.1730293,br,1.69,99.990,99.990,99.990,99.990,99.990,g
2458403.67619,2018-10-12.1742519,br,1.71,17.375,>17.375,99.990,0.154,0.082,g
2458405.71474,2018-10-14.2129108,br,1.54,99.990,99.990,99.990,99.990,99.990,g
2458405.71595,2018-10-14.2141270,br,1.54,17.626,>17.626,99.990,0.053,0.065,g
2458405.71718,2018-10-14.2153457,br,1.59,17.672,>17.672,99.990,0.285,0.062,g
2458409.76110,2018-10-18.2594843,bb,2.35,16.232,>16.232,99.990,-0.220,0.247,V
2458409.76236,2018-10-18.2607454,bb,2.08,16.346,>16.346,99.990,0.331,0.222,V
2458409.76364,2018-10-18.2620255,bb,2.05,15.962,>15.962,99.990,0.352,0.316,V
2458416.74191,2018-10-25.2407004,bb,2.19,16.418,>16.418,99.990,-0.033,0.208,V
2458416.74318,2018-10-25.2419746,bb,2.18,16.372,>16.372,99.990,0.232,0.217,V
2458416.74571,2018-10-25.2445077,bb,2.17,16.267,>16.267,99.990,0.134,0.239,V
2458418.71953,2018-10-27.2184444,br,1.50,16.724,>16.724,99.990,0.021,0.148,g
2458418.72074,2018-10-27.2196585,br,1.52,16.736,>16.736,99.990,0.044,0.147,g
2458418.72197,2018-10-27.2208871,br,1.50,16.658,>16.658,99.990,0.218,0.158,g
2458419.71517,2018-10-28.2141471,br,1.42,16.731,>16.731,99.990,-0.044,0.147,g
2458419.71639,2018-10-28.2153751,br,1.50,16.698,>16.698,99.990,-0.059,0.152,g
2458419.71762,2018-10-28.2165947,br,1.49,16.719,>16.719,99.990,-0.214,0.149,g
2458420.71112,2018-10-29.2101568,br,1.45,17.016,>17.016,99.990,0.167,0.113,g
2458420.71233,2018-10-29.2113780,br,1.44,16.977,>16.977,99.990,-0.150,0.118,g
2458420.71356,2018-10-29.2126061,br,1.47,16.863,>16.863,99.990,0.287,0.131,g
2458421.70950,2018-10-30.2086042,br,1.61,99.990,99.990,99.990,99.990,99.990,g
2458427.76020,2018-11-05.2596721,bb,2.02,17.253,>17.253,99.990,0.391,0.096,V
2458427.76147,2018-11-05.2609495,bb,2.03,17.187,>17.187,99.990,0.439,0.102,V
2458427.76274,2018-11-05.2622118,bb,2.02,17.127,>17.127,99.990,0.205,0.108,V
2458428.64288,2018-11-06.1424096,br,1.50,17.727,>17.727,99.990,0.144,0.059,g
2458428.64410,2018-11-06.1436218,br,1.62,17.623,>17.623,99.990,0.238,0.065,g
2458428.64532,2018-11-06.1448414,br,1.55,17.654,>17.654,99.990,0.009,0.063,g
2458430.68306,2018-11-08.1827200,br,1.47,99.990,99.990,99.990,99.990,99.990,g
2458430.68429,2018-11-08.1839408,br,1.39,99.990,99.990,99.990,99.990,99.990,g
2458430.68549,2018-11-08.1851541,br,1.38,99.990,99.990,99.990,99.990,99.990,g
2458431.66366,2018-11-09.1633836,br,1.54,99.990,99.990,99.990,99.990,99.990,g
2458431.66489,2018-11-09.1646127,br,1.53,17.585,>17.585,99.990,0.200,0.067,g
2458431.66612,2018-11-09.1658358,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2458435.74273,2018-11-13.2426982,bb,2.14,17.025,>17.025,99.990,0.321,0.119,V
2458435.74401,2018-11-13.2439712,bb,2.15,16.919,>16.919,99.990,0.135,0.131,V
2458435.74527,2018-11-13.2452387,bb,2.11,17.037,>17.037,99.990,0.493,0.117,V
2458437.64990,2018-11-15.1499960,br,1.56,17.184,>17.184,99.990,-0.207,0.097,g
2458437.65112,2018-11-15.1512142,br,1.63,17.279,>17.279,99.990,0.155,0.089,g
2458437.65234,2018-11-15.1524285,br,1.95,17.068,>17.068,99.990,0.162,0.108,g
2458439.60507,2018-11-17.1052865,br,1.49,15.823,>15.823,99.990,-0.066,0.340,g
2458439.60628,2018-11-17.1065002,br,1.51,15.767,>15.767,99.990,-0.549,0.359,g
2458439.60751,2018-11-17.1077231,br,1.43,16.511,>16.511,99.990,0.036,0.181,g
2458441.70688,2018-11-19.2072237,bb,2.22,15.923,>15.923,99.990,0.015,0.328,V
2458441.70815,2018-11-19.2085012,bb,2.13,16.251,>16.251,99.990,-0.104,0.242,V
2458441.70943,2018-11-19.2097770,bb,2.13,16.019,>16.019,99.990,0.358,0.300,V
2458442.61491,2018-11-20.1153221,br,1.57,16.588,>16.588,99.990,-0.149,0.168,g
2458442.61614,2018-11-20.1165474,br,1.50,16.809,>16.809,99.990,-0.118,0.137,g
2458442.61736,2018-11-20.1177648,br,1.54,16.652,>16.652,99.990,-0.223,0.159,g
2458447.64449,2018-11-25.1452177,br,1.57,99.990,99.990,99.990,99.990,99.990,g
2458448.69456,2018-11-26.1953460,bb,2.49,16.595,>16.595,99.990,-0.094,0.177,V
2458448.69584,2018-11-26.1966196,bb,2.46,16.767,>16.767,99.990,0.397,0.151,V
2458450.69855,2018-11-28.1994543,bb,2.42,17.094,>17.094,99.990,0.195,0.111,V
2458450.69982,2018-11-28.2007268,bb,2.44,16.969,>16.969,99.990,0.234,0.125,V
2458450.70110,2018-11-28.2020016,bb,2.43,17.060,>17.060,99.990,0.189,0.115,V
2458451.57286,2018-11-29.0738236,br,1.56,17.739,>17.739,99.990,0.085,0.058,g
2458451.57409,2018-11-29.07505,br,1.55,99.990,99.990,99.990,99.990,99.990,g
2458451.57532,2018-11-29.0762729,br,1.59,99.990,99.990,99.990,99.990,99.990,g
2458453.61942,2018-12-01.1204986,br,1.55,17.466,>17.466,99.990,0.161,0.075,g
2458453.62088,2018-12-01.1219591,br,1.56,17.484,>17.484,99.990,0.024,0.074,g
2458453.62248,2018-12-01.1235556,br,1.56,17.632,>17.632,99.990,-0.097,0.064,g
2458455.60939,2018-12-03.1105906,br,1.41,17.660,>17.660,99.990,0.146,0.063,g
2458455.61062,2018-12-03.1118263,br,1.47,17.584,>17.584,99.990,0.241,0.067,g
2458455.61185,2018-12-03.1130527,br,1.39,99.990,99.990,99.990,99.990,99.990,g
2458457.60212,2018-12-05.1034403,br,1.67,17.384,>17.384,99.990,0.168,0.081,g
2458457.60335,2018-12-05.1046614,br,1.70,99.990,99.990,99.990,99.990,99.990,g
2458457.60456,2018-12-05.1058819,br,1.63,17.426,>17.426,99.990,0.272,0.078,g
2458465.58961,2018-12-13.0913828,br,1.57,17.436,>17.436,99.990,-0.148,0.077,g
2458465.59083,2018-12-13.0926023,br,1.60,17.221,>17.221,99.990,0.080,0.094,g
2458465.59205,2018-12-13.0938207,br,1.58,17.322,>17.322,99.990,0.075,0.086,g
2458474.56128,2018-12-22.0635168,br,2.17,15.328,>15.328,99.990,-0.683,0.537,g
2458475.55308,2018-12-23.0553730,br,1.54,16.190,>16.190,99.990,-0.051,0.243,g
2458475.55430,2018-12-23.0565859,br,2.02,16.162,>16.162,99.990,-0.565,0.249,g
2458475.55552,2018-12-23.0578045,br,2.01,16.152,>16.152,99.990,-0.215,0.251,g
2458476.54985,2018-12-24.0521936,br,1.59,17.334,>17.334,99.990,0.267,0.085,g
2458476.55107,2018-12-24.0534105,br,1.58,17.363,>17.363,99.990,0.035,0.082,g
2458476.55230,2018-12-24.0546412,br,1.50,17.201,>17.201,99.990,0.193,0.096,g
2458557.00581,2019-03-14.5088582,br,1.69,99.990,99.990,99.990,99.990,99.990,g
2458571.09877,2019-03-28.6012732,bB,2.40,17.427,>17.427,99.990,-0.100,0.078,g
2458571.10004,2019-03-28.6025449,bB,2.40,17.203,>17.203,99.990,0.209,0.096,g
2458571.10131,2019-03-28.6038103,bB,2.39,17.199,>17.199,99.990,-0.149,0.096,g
2458572.10460,2019-03-29.6070565,bB,2.12,17.474,>17.474,99.990,0.217,0.074,g
2458572.10587,2019-03-29.6083261,bB,2.15,17.614,>17.614,99.990,0.244,0.066,g
2458572.10714,2019-03-29.6096017,bB,2.13,17.417,>17.417,99.990,0.015,0.078,g
2458575.95112,2019-04-02.4534041,br,1.49,99.990,99.990,99.990,99.990,99.990,g
2458575.95234,2019-04-02.4546208,br,1.51,99.990,99.990,99.990,99.990,99.990,g
2458575.95357,2019-04-02.4558447,br,1.53,99.990,99.990,99.990,99.990,99.990,g
2458577.94724,2019-04-04.4494216,br,1.50,17.536,>17.536,99.990,0.222,0.070,g
2458577.94845,2019-04-04.4506335,br,1.51,99.990,99.990,99.990,99.990,99.990,g
2458577.94966,2019-04-04.4518491,br,1.46,99.990,99.990,99.990,99.990,99.990,g
2458578.95255,2019-04-05.4546799,br,1.53,17.556,>17.556,99.990,0.103,0.069,g
2458578.95378,2019-04-05.4559100,br,1.57,17.496,>17.496,99.990,0.138,0.073,g
2458578.95500,2019-04-05.4571263,br,1.54,17.535,>17.535,99.990,0.061,0.070,g
2458579.96359,2019-04-06.4656820,br,1.50,17.444,>17.444,99.990,0.190,0.077,g
2458579.96481,2019-04-06.4668976,br,1.50,17.448,>17.448,99.990,0.203,0.076,g
2458579.96603,2019-04-06.4681180,br,1.47,17.474,>17.474,99.990,0.163,0.074,g
2458580.92772,2019-04-07.4297537,br,1.51,17.414,>17.414,99.990,0.066,0.079,g
2458580.92894,2019-04-07.4309668,br,1.53,17.433,>17.433,99.990,-0.005,0.077,g
2458580.93015,2019-04-07.4321850,br,1.52,17.406,>17.406,99.990,0.106,0.079,g
2458581.94016,2019-04-08.4421407,br,1.56,17.538,>17.538,99.990,0.163,0.070,g
2458581.94139,2019-04-08.4433672,br,1.51,17.349,>17.349,99.990,0.054,0.083,g
2458581.94261,2019-04-08.4445883,br,1.50,17.542,>17.542,99.990,-0.059,0.070,g
2458582.92991,2019-04-09.4318387,br,1.49,17.367,>17.367,99.990,0.056,0.082,g
2458582.93113,2019-04-09.4330627,br,1.60,17.425,>17.425,99.990,-0.068,0.078,g
2458582.93234,2019-04-09.4342806,br,1.59,17.482,>17.482,99.990,0.099,0.074,g
2458583.11964,2019-04-09.6215577,bB,2.09,17.864,>17.864,99.990,0.144,0.052,g
2458583.12091,2019-04-09.6228319,bB,2.11,17.672,>17.672,99.990,0.177,0.062,g
2458583.12219,2019-04-09.6241094,bB,2.11,17.753,>17.753,99.990,0.104,0.058,g
2458588.91576,2019-04-15.4173744,br,1.70,15.868,>15.868,99.990,-0.540,0.326,g
2458588.91697,2019-04-15.4185828,br,1.69,15.564,>15.564,99.990,0.226,0.432,g
2458588.91819,2019-04-15.4198001,br,1.64,15.560,>15.560,99.990,-0.361,0.434,g
2458589.06682,2019-04-15.5684163,bB,2.29,17.540,>17.540,99.990,0.125,0.070,g
2458589.06810,2019-04-15.5696966,bB,2.29,17.557,>17.557,99.990,0.091,0.069,g
2458589.06937,2019-04-15.5709685,bB,2.29,17.781,>17.781,99.990,0.172,0.056,g
2458592.08515,2019-04-18.5865745,bB,2.26,16.487,>16.487,99.990,0.431,0.185,g
2458592.08641,2019-04-18.5878458,bB,2.29,16.559,>16.559,99.990,0.148,0.173,g
2458592.08768,2019-04-18.5891142,bB,2.30,16.571,>16.571,99.990,-0.222,0.171,g
2458594.04015,2019-04-20.5414653,bB,2.19,16.478,>16.478,99.990,0.229,0.186,g
2458594.04143,2019-04-20.5427428,bB,2.17,16.263,>16.263,99.990,-0.323,0.227,g
2458594.04272,2019-04-20.5440305,bB,2.13,16.435,>16.435,99.990,0.541,0.194,g
2458595.03837,2019-04-21.5396251,bB,2.14,16.551,>16.551,99.990,0.059,0.174,g
2458595.03964,2019-04-21.5409055,bB,2.14,16.431,>16.431,99.990,-0.056,0.194,g
2458595.04093,2019-04-21.5421870,bB,2.20,16.611,>16.611,99.990,-0.231,0.165,g
2458597.03369,2019-04-23.5348254,bB,2.08,16.877,>16.877,99.990,0.097,0.129,g
2458597.03496,2019-04-23.5361023,bB,2.04,16.884,>16.884,99.990,-0.208,0.128,g
2458597.03625,2019-04-23.5373898,bB,2.08,16.867,>16.867,99.990,-0.094,0.130,g
2458599.09594,2019-04-25.5969641,bB,2.08,17.331,>17.331,99.990,0.127,0.085,g
2458599.09723,2019-04-25.5982466,bB,2.08,17.333,>17.333,99.990,0.049,0.085,g
2458599.09850,2019-04-25.5995223,bB,2.09,17.266,>17.266,99.990,0.224,0.090,g
2458600.88263,2019-04-27.3835555,br,1.48,17.181,>17.181,99.990,0.028,0.097,g
2458600.88385,2019-04-27.3847644,br,1.46,17.224,>17.224,99.990,0.035,0.094,g
2458600.88506,2019-04-27.3859710,br,1.50,17.232,>17.232,99.990,0.157,0.093,g
2458600.94646,2019-04-27.4473731,br,1.53,17.377,>17.377,99.990,0.056,0.081,g
2458600.94768,2019-04-27.4485855,br,1.53,17.292,>17.292,99.990,0.197,0.088,g
2458600.94890,2019-04-27.4498074,br,1.58,17.286,>17.286,99.990,0.044,0.088,g
2458601.03032,2019-04-27.5312261,bB,2.03,16.147,>16.147,99.990,-0.408,0.252,g
2458601.03160,2019-04-27.5325042,bB,2.03,14.900,>14.900,99.990,1.058,0.796,g
2458601.03287,2019-04-27.5337763,bB,2.04,16.729,>16.729,99.990,0.479,0.148,g
2458601.88321,2019-04-28.3840619,br,1.45,17.426,>17.426,99.990,0.035,0.078,g
2458601.88441,2019-04-28.3852732,br,1.55,17.416,>17.416,99.990,0.083,0.079,g
2458601.88563,2019-04-28.3864883,br,1.48,17.416,>17.416,99.990,0.167,0.079,g
2458602.88526,2019-04-29.3860570,br,1.42,17.114,>17.114,99.990,-0.081,0.104,g
2458602.88648,2019-04-29.3872696,br,1.45,16.875,>16.875,99.990,0.346,0.129,g
2458602.88769,2019-04-29.3884863,br,1.47,16.996,>16.996,99.990,0.156,0.116,g
2458604.87017,2019-05-01.3708542,br,1.48,17.549,>17.549,99.990,0.161,0.069,g
2458604.87139,2019-05-01.3720638,br,1.48,99.990,99.990,99.990,99.990,99.990,g
2458604.87261,2019-05-01.3732832,br,1.48,17.588,>17.588,99.990,0.006,0.067,g
2458605.86639,2019-05-02.3670158,br,1.40,17.585,>17.585,99.990,0.058,0.067,g
2458605.86761,2019-05-02.3682327,br,1.48,17.500,>17.500,99.990,-0.079,0.073,g
2458605.86883,2019-05-02.3694480,br,1.43,17.467,>17.467,99.990,0.057,0.075,g
2458607.86050,2019-05-04.3609997,br,1.47,99.990,99.990,99.990,99.990,99.990,g
2458607.86171,2019-05-04.3622072,br,1.53,99.990,99.990,99.990,99.990,99.990,g
2458607.86294,2019-05-04.3634269,br,1.54,99.990,99.990,99.990,99.990,99.990,g
2458608.89265,2019-05-05.3930847,br,1.51,17.590,>17.590,99.990,0.036,0.067,g
2458608.89387,2019-05-05.3943042,br,1.55,17.681,>17.681,99.990,0.094,0.061,g
2458608.89508,2019-05-05.3955204,br,1.51,17.522,>17.522,99.990,0.103,0.071,g
2458609.92335,2019-05-06.4237165,br,1.68,99.990,99.990,99.990,99.990,99.990,g
2458609.92456,2019-05-06.4249335,br,1.66,17.406,>17.406,99.990,-0.081,0.079,g
2458609.92578,2019-05-06.4261506,br,1.57,17.390,>17.390,99.990,0.000,0.080,g
