,JD,Magnitude,Magnitude_Error
80,2459055.7886111,18.9679565,0.04427303
81,2459056.815625,18.9466076,0.0436455756
82,2459057.8105903,18.973999,0.0444527492
83,2459059.7655208,18.9807987,0.0446561091
84,2459060.7662731,18.9641266,0.0441596359
85,2459061.7352431,18.9340363,0.0432814471
86,2459062.7890162,18.9435349,0.043556191
87,2459063.7255208,18.9628754,0.0441226438
88,2459064.766088,18.8925438,0.0421074443
89,2459066.774456,18.8846893,0.0418899208
90,2459067.7692477,19.0152817,0.0457059704
91,2459068.8212384,18.9241867,0.042998936
92,2459071.7615278,19.0119572,0.0456033833
93,2459072.7734028,18.9752464,0.0444899909
94,2459077.8253588,18.9569473,0.0439480133
95,2459079.7714699,18.9460201,0.0436284654
96,2459081.775544,18.9325523,0.0432387218
97,2459084.7316204,18.9415512,0.0434986278
98,2459085.8006481,18.9326458,0.0432414301
99,2459086.7654051,18.9426136,0.043529436
100,2459087.7359259,18.8602867,0.0412234962
101,2459088.7316319,19.0118484,0.045600038
102,2459089.6866088,18.9481735,0.0436911844
103,2459089.701956,18.944767,0.0435920134
104,2459090.7020602,19.0011158,0.0452708751
105,2459091.6628125,18.9239845,0.0429931469
106,2459091.679213,19.0149784,0.0456965752
107,2459092.6806829,18.9873695,0.0448537581
108,2459092.694456,18.9261379,0.043054685
109,2459093.7551968,18.8916721,0.0420832075
110,2459093.7775463,19.0238457,0.0459715687
111,2459094.7476273,18.9063206,0.0424925536
112,2459094.7566898,19.0407848,0.0465026908
113,2459095.7103819,18.9097748,0.042589847
114,2459095.7356134,18.9360046,0.043338187
115,2459096.7461227,18.9690552,0.0443056524
116,2459096.7611458,18.936924,0.0433647223
117,2459097.8576968,18.9072609,0.0425190106
118,2459097.8807639,18.8984985,0.0422733426
119,2459098.7603125,19.0380058,0.0464150235
120,2459098.7871296,18.9309769,0.0431934409
121,2459099.7681366,18.89814,0.0422633179
122,2459099.7793171,18.8911514,0.042068772
123,2459106.7414468,18.9056282,0.0424731113
124,2459106.7656366,18.9394112,0.0434366427
125,2459107.7274306,18.9150543,0.0427391231
126,2459107.7387153,18.9260941,0.0430534557
127,2459108.8194676,18.9256973,0.0430420972
128,2459109.7596065,18.9443989,0.0435813069
129,2459109.7809491,18.9536476,0.0438511893
130,2459110.6686111,18.9345055,0.0432949774
131,2459110.7201736,18.9414597,0.043495968
132,2459111.7777546,18.9543285,0.043871142
133,2459111.7975463,18.9236393,0.0429832786
134,2459112.7372685,18.89048,0.0420501269
135,2459112.756875,18.9389286,0.0434226729
136,2459113.7198843,18.9416103,0.0435003564
137,2459113.7403704,18.9096146,0.0425853468
138,2459114.769213,18.9718208,0.0443878695
139,2459114.8628356,18.9839115,0.0447495952
140,2459115.6378935,18.9203606,0.042889826
141,2459115.6840972,18.9195385,0.0428664088
142,2459116.6524421,18.9011955,0.0423487499
143,2459116.6797917,18.8983345,0.0422687456
144,2459117.6853472,18.8961449,0.0422076434
145,2459117.7025463,18.9477921,0.0436800607
146,2459118.6522106,19.0201702,0.0458573103
147,2459118.682037,18.9366684,0.0433573499
148,2459119.7778935,18.9618034,0.0440910086
149,2459119.7974653,19.0341225,0.0462928526
150,2459120.6625463,18.9549904,0.0438905805
151,2459120.6780903,19.0087872,0.0455058478
152,2459121.7157755,18.9430389,0.0435417965
153,2459122.6623148,18.8871574,0.0419581011
154,2459122.6790741,18.995163,0.0450896546
155,2458691.8538194,21.1220207,0.177372098
156,2458964.9875116,20.8460884,0.158156991
157,2458965.981088,21.3060875,0.190189958
158,2458972.9859953998,21.2544365,0.186593175
159,2458991.886169,20.8386536,0.157639265
160,2458997.863125,21.0902462,0.175159454
161,2459011.889213,20.9366589,0.164464116
162,2459043.8230671,21.464056,0.201190472
