,runcat_id,ra,dec,n_datapoints,snr,q_min,q_max,u_min,u_max,i_min,i_max,Gmag,BP-RP,Dist,b_Dist_cds,B_Dist_cdsa,RPlx,qui_min,M_G,url,qui_diff
602,36630082,77.80744201338092,-69.58118003302101,2,22.56932258605957,16.507112503051758,18.372461318969727,17.911842346191406,18.583269119262695,16.775497436523438,18.6302490234375,16.616491,1.27638,1909.6337,1788.8099,2165.96,10.126650901060346,16.507112503051758,5.211740648905499,http://gemtom.blackgem.org/transients/36630082,1.8653488159179688
607,36630783,79.65215715887702,-69.2070307298025,2,8.752189636230469,17.950450897216797,19.088462829589844,17.214839935302734,17.769227981567383,17.530628204345703,18.43108558654785,16.65423,-0.112545,19013.092,18765.607,19216.414,84.35136100371099,17.214839935302734,0.25896625172151744,http://gemtom.blackgem.org/transients/36630783,0.5543880462646484
610,36633984,76.64979102382,-69.04736521578133,2,6.8167572021484375,16.689716339111328,18.159835815429688,17.366674423217773,18.029592514038086,17.21983528137207,18.662240982055664,16.453197,-0.115299,14131.848,13939.679,14383.579,63.67131335886466,16.689716339111328,0.7022022120861351,http://gemtom.blackgem.org/transients/36633984,1.4701194763183594
613,36633985,76.64979501536081,-69.04735486550068,2,6.8167572021484375,16.689716339111328,18.073904037475586,17.366674423217773,18.029592514038086,17.21983528137207,18.662240982055664,16.453197,-0.115299,14131.848,13939.679,14383.579,63.67131335886466,16.689716339111328,0.7022022120861351,http://gemtom.blackgem.org/transients/36633985,1.3841876983642578
622,36635809,79.03305240535116,-68.74294022812671,2,6.401131629943848,,,18.450658798217773,18.613676071166992,,,17.089203,-0.050426,18112.582,18017.95,18231.275,169.81208953474686,18.450658798217773,0.7993011768055283,http://gemtom.blackgem.org/transients/36635809,0.16301727294921875
623,36638908,78.05657794477847,-71.51083954301646,1,6.655845642089844,,,,,18.013830184936523,19.054166793823242,17.723007,1.330265,1972.4393,1823.6761,2102.8337,14.131367370976097,18.013830184936523,6.247988764624841,http://gemtom.blackgem.org/transients/36638908,1.0403366088867188
627,36640972,82.26214488246505,-69.8905235696815,2,7.9311065673828125,16.312368392944336,18.714008331298828,17.87618637084961,18.678009033203125,15.34349250793457,17.71382713317871,15.61831,0.796637,2581.7324,2456.075,2715.9517,19.868902444890193,15.34349250793457,3.558753874689943,http://gemtom.blackgem.org/transients/36640972,2.3703346252441406
628,36640973,82.26189497284545,-69.89027641699026,2,7.9311065673828125,16.312368392944336,17.408710479736328,17.87618637084961,18.678009033203125,15.34349250793457,17.71382713317871,15.61831,0.796637,2581.7324,2456.075,2715.9517,19.868902444890193,15.34349250793457,3.558753874689943,http://gemtom.blackgem.org/transients/36640973,2.3703346252441406
629,36641782,76.76520335094683,-71.13530959307911,2,7.860787868499756,,,,,17.804927825927734,18.535980224609375,17.603611,1.463739,1786.0065,1694.2498,1872.313,20.060366207054567,17.804927825927734,6.344195824356637,http://gemtom.blackgem.org/transients/36641782,0.7310523986816406
630,36641830,76.60058679264954,-71.09164067495837,2,6.756402015686035,,,,,17.95316505432129,18.725858688354492,17.683207,1.320093,1753.5096,1336.5695,1925.6047,5.9538363751436245,17.95316505432129,6.46366626064432,http://gemtom.blackgem.org/transients/36641830,0.7726936340332031
