name,ra,dec,galactic_lng,galactic_lat,type,groups,ID,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
AT 2024fje,123.05152916666664,-13.155852777777778,234.2049302564499,11.265211850307164,SIDEREAL,Public,148977,AGN,0.174,,,BlackGEM,BlackGEM,SCAT,BlackGEM,BGEM J081212.36-130921.0,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",UH88 - SNIFS,1,1,,18.64,BG-q-BlackGem,2024-04-02 00:37:07.000,BlackGEM_Bot1,,2024TNSTR.890....1P,2024TNSCR.984....1H,
AT 2024fjd,231.70926666666665,-15.82465,348.85574460898175,32.8542531778217,SIDEREAL,Public,148976,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J152650.22-154928.7,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.87,BG-q-BlackGem,2024-04-02 05:59:42.000,BlackGEM_Bot1,,2024TNSTR.890....1P,,
AT 2024fhr,199.95919999999998,-14.742902777777777,313.1353772071926,47.56543135370651,SIDEREAL,Public,148938,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J131950.20-144434.4,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.05,BG-q-BlackGem,2024-03-31 05:14:58.000,BlackGEM_Bot1,,2024TNSTR.877....1T,,
AT 2024fhq,220.78714166666666,-18.53188611111111,336.6716777191881,36.91568737882779,SIDEREAL,Public,148937,,,,,"BlackGEM, ATLAS, ZTF","BlackGEM, ATLAS, ZTF",,ATLAS; BlackGEM; ZTF,BGEM J144308.91-183154.7,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam",,1,1,,18.78,BG-q-BlackGem,2024-04-01 03:35:33.000,BlackGEM_Bot1,,2024TNSTR.877....1T,,
AT 2024fhp,153.5545208333333,-15.570491666666667,256.4180821792125,32.751039660288704,SIDEREAL,Public,148936,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J101413.08-153413.7,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.86,BG-q-BlackGem,2024-04-01 00:37:48.000,BlackGEM_Bot1,,2024TNSTR.877....1T,,
AT 2024fhh,202.032975,-17.86215277777778,315.138456448699,44.13816769479494,SIDEREAL,Public,148928,,,,,"BlackGEM, ZTF","BlackGEM, ZTF",,BlackGEM; ZTF,BGEM J132807.91-175143.7,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam",,1,1,,19.45,BG-q-BlackGem,2024-03-31 02:30:23.000,BlackGEM_Bot1,,2024TNSTR.878....1G,,
AT 2024fhg,204.96104583333332,-14.047844444444443,320.34268102263576,47.180903433859896,SIDEREAL,Public,148927,,,,,"BlackGEM, ZTF","BlackGEM, ZTF",,BlackGEM; ZTF,BGEM J133950.65-140252.2,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam, P48 - ZTF-Cam",,1,1,,19.23,BG-q-BlackGem,2024-03-31 06:07:40.000,BlackGEM_Bot1,,2024TNSTR.876....1S,,
AT 2024fhf,210.78487083333331,-12.051633333333333,329.19110446760067,47.131478262894355,SIDEREAL,Public,148926,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J140308.36-120305.8,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.95,BG-q-BlackGem,2024-03-31 06:33:58.000,BlackGEM_Bot1,,2024TNSTR.876....1S,,
AT 2024fhe,152.0798583333333,-15.643519444444443,255.24053736327573,31.735809009561297,SIDEREAL,Public,148925,,,,,"BlackGEM, ATLAS, YSE","BlackGEM, ATLAS, Pan-STARRS",,ATLAS; BlackGEM; Pan-STARRS; YSE,BGEM J100819.15-153836.7,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam, PS2 - GPC2",,1,1,,19.53,BG-q-BlackGem,2024-04-01 00:31:20.000,BlackGEM_Bot1,,2024TNSTR.876....1S,,
AT 2024fbq,165.2967708333333,-18.97139722222222,269.8456864909751,36.71847951040002,SIDEREAL,Public,148764,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J110111.22-185817.0,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.93,BG-q-BlackGem,2024-03-29 04:15:25.000,BlackGEM_Bot1,,2024TNSTR.849....1S,,
AT 2024eyt,110.75804166666666,-32.114275,245.02823455034115,-7.979394011172481,SIDEREAL,Public,148683,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J072301.92-320651.3,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4",,1,1,,18.76,BG-q-BlackGem,2024-03-26 00:10:40.000,BlackGEM_Bot1,,2024TNSTR.816....1G,,
AT 2024exd,206.84181666666666,-78.59329722222222,305.7818469564256,-16.032214405110828,SIDEREAL,Public,148633,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J134722.03-783535.8,"BG2 - BlackGEM-Cam2, ML1 - MeerLICHT-Cam",,1,1,,18.55,BG-i-BlackGem,2024-03-15 04:38:57.000,BlackGEM_Bot1,,2024TNSTR.792....1T,,
AT 2024exc,124.76235416666664,20.674883333333334,202.80286343736825,28.138662211351694,SIDEREAL,Public,148632,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J081902.96+204029.5,"BG2 - BlackGEM-Cam2, BG4 - BlackGEM-Cam4",,1,1,,19.39,BG-i-BlackGem,2024-03-11 01:22:37.000,BlackGEM_Bot1,,2024TNSTR.792....1T,,
AT 2024exb,187.9619708333333,-31.561908333333335,298.0571996791829,31.12434830589431,SIDEREAL,Public,148631,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J123150.87-313342.8,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,18.82,BG-q-BlackGem,2024-03-23 04:33:28.000,BlackGEM_Bot1,,2024TNSTR.793....1G,,
AT 2024evp,236.54787916666663,-10.057247222222223,357.7147390749405,33.644490771195336,SIDEREAL,Public,148591,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J154611.49-100326.0,"BG2 - BlackGEM-Cam2, ML1 - MeerLICHT-Cam",,1,1,,16.26,BG-i-BlackGem,2024-03-22 07:13:19.000,BlackGEM_Bot1,,2024TNSTR.783....1S,,
AT 2024evo,204.11614166666664,-35.28619166666667,313.20481863517756,26.68576815016027,SIDEREAL,Public,148590,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J133627.87-351710.2,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.1,BG-q-BlackGem,2024-03-22 06:20:06.000,BlackGEM_Bot1,,2024TNSTR.783....1S,,
AT 2024evn,283.3955291666666,-46.069900000000004,350.32914392542244,-19.52208882565461,SIDEREAL,Public,148589,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J185334.92-460411.6,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.91,BG-q-BlackGem,2024-03-22 08:25:40.000,BlackGEM_Bot1,,2024TNSTR.783....1S,,
AT 2024etx,230.34902499999995,-38.128077777777776,332.78673556436377,15.900353014290237,SIDEREAL,Public,148545,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J152123.76-380741.0,BG4 - BlackGEM-Cam4,,1,1,,19.4,BG-q-BlackGem,2024-03-21 08:53:35.000,BlackGEM_Bot1,,2024TNSTR.767....1S,,
AT 2024etw,283.5863124999999,-48.097797222222226,348.3321489520084,-20.299185311230097,SIDEREAL,Public,148544,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J185420.71-480552.0,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.96,BG-q-BlackGem,2024-03-21 09:08:00.000,BlackGEM_Bot1,,2024TNSTR.767....1S,,
AT 2024esg,84.8218625,-59.25205833333333,267.8705136008714,-32.19320585142249,SIDEREAL,Public,148499,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J053917.24-591507.4,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,19.29,BG-q-BlackGem,2024-02-17 01:51:05.000,BlackGEM_Bot1,,2024TNSTR.754....1T,,
AT 2024esf,139.40994999999998,-59.614975,278.7548324148752,-7.196144433389704,SIDEREAL,Public,148498,,,,,BlackGEM,BlackGEM,,BlackGEM,BGEM J091738.38-593653.9,"BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,20.02,BG-q-BlackGem,2024-02-17 03:48:38.000,BlackGEM_Bot1,,2024TNSTR.754....1T,,
AT 2024erz,145.1973958333333,-65.30283333333333,284.6870943468024,-9.429172108442424,SIDEREAL,Public,148492,,,,,"BlackGEM, ATLAS","BlackGEM, ATLAS",,ATLAS; BlackGEM,BGEM J094047.37-651810.2,"ATLAS-STH - ATLAS-03, BG4 - BlackGEM-Cam4, ML1 - MeerLICHT-Cam",,1,1,,18.6,BG-q-BlackGem,2024-03-15 01:21:52.000,BlackGEM_Bot1,,2024TNSTR.753....1T,,
